name,type,cv_f1_macro_mean,cv_f1_macro_std,cv_accuracy_mean,cv_balanced_acc_mean,cv_train_f1_macro_mean,elapsed_seconds
LSTM,pytorch,0.3656135531135531,0.0,,,,4.717866897583008
Transformer,pytorch,0.35132575757575757,0.0,,,,6.175430774688721
Bagging,sklearn,0.3365200748907843,0.1102827892089567,0.47000000000000003,0.38883730158730156,1.0,1.621006965637207
GradientBoosting,sklearn,0.3145207792207792,0.15236593552776836,0.42000000000000004,0.3474285714285715,1.0,10.424769878387451
RandomForest,sklearn,0.3117554959660223,0.09754763633696918,0.48,0.37016666666666664,1.0,2.120379686355591
AdaBoost,sklearn,0.29936514210427256,0.09518874429317246,0.49000000000000005,0.3704444444444444,0.6060448709001726,1.309478521347046
BiLSTM,pytorch,0.2857142857142857,0.0,,,,9.161570310592651
ExtraTrees,sklearn,0.2692789477314986,0.07748063193075697,0.45,0.3301468253968254,1.0,1.541975736618042
LogisticRegression,sklearn,0.2409852233536444,0.17592111509301805,0.36,0.2908809523809524,0.9972443210179058,8.654717683792114
KNN,sklearn,0.23626956376956376,0.05572080303468536,0.39,0.3171507936507936,0.41419082948904407,0.7904024124145508
SVM,sklearn,0.1465592385701279,0.0504826669342687,0.35,0.22404761904761905,0.8392983861082314,0.15259170532226562
